Constants Table
"valueofconsta" 0
10 1
0 2
1 3
+3 4
"ok" 5
"notok" 6

Identifiers table
est_ne 0
CONST_A 1
MAX_B 2
a 3
b 4
c 5
int 6
aa 7

Internal form
33 -1
0 0
14 -1
25 -1
0 1
17 -1
1 0
25 -1
0 2
17 -1
1 1
14 -1
26 -1
0 3
21 -1
0 4
21 -1
0 5
24 -1
0 6
14 -1
26 -1
0 7
24 -1
0 6
22 -1
1 1
23 -1
14 -1
38 -1
0 4
17 -1
1 2
14 -1
36 -1
6 -1
0 4
15 -1
0 2
7 -1
38 -1
0 4
17 -1
0 4
9 -1
1 3
14 -1
0 4
17 -1
6 -1
0 4
11 -1
1 3
7 -1
1 4
14 -1
40 -1
0 3
17 -1
6 -1
1 3
5 -1
1 2
7 -1
14 -1
30 -1
6 -1
0 3
18 -1
1 3
7 -1
37 -1
6 -1
1 5
7 -1
14 -1
29 -1
38 -1
37 -1
6 -1
1 6
7 -1
14 -1
40 -1
40 -1

